"9.10.2020","TRD140721T18",102,15,,,,,,,,,,"9.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.10.2020","TRD140721T18",102,17,,,,,,,,,,"10.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11.10.2020","TRD140721T18",102,2,,,,,,,,,,"11.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12.10.2020","TRD140721T18",102,22,,,,,,,,,,"12.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13.10.2020","TRD140721T18",102,25,,,,,,,,,,"13.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14.10.2020","TRD140721T18",102,28,,,,,,,,,,"14.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15.10.2020","TRD140721T18",102,3,,,,,,,,,,"15.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16.10.2020","TRD140721T18",102,33,,,,,,,,,,"16.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17.10.2020","TRD140721T18",102,35,,,,,,,,,,"17.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18.10.2020","TRD140721T18",102,38,,,,,,,,,,"18.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19.10.2020","TRD140721T18",102,4,,,,,,,,,,"19.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20.10.2020","TRD140721T18",102,43,,,,,,,,,,"20.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21.10.2020","TRD140721T18",102,46,,,,,,,,,,"21.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22.10.2020","TRD140721T18",102,48,,,,,,,,,,"22.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.10.2020","TRD140721T18",102,51,,,,,,,,,,"23.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24.10.2020","TRD140721T18",102,53,,,,,,,,,,"24.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25.10.2020","TRD140721T18",102,56,,,,,,,,,,"25.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26.10.2020","TRD140721T18",102,58,,,,,,,,,,"26.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27.10.2020","TRD140721T18",102,61,,,,,,,,,,"27.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28.10.2020","TRD140721T18",102,64,,,,,,,,,,"28.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29.10.2020","TRD140721T18",102,66,,,,,,,,,,"29.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30.10.2020","TRD140721T18",102,69,,,,,,,,,,"30.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31.10.2020","TRD140721T18",102,71,,,,,,,,,,"31.10.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.11.2020","TRD140721T18",102,74,,,,,,,,,,"1.11.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.11.2020","TRD140721T18",102,77,,,,,,,,,,"2.11.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.11.2020","TRD140721T18",102,79,,,,,,,,,,"3.11.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
